,track.name,playlist_name,lyrics,language
31,King For A Day,Barack Obama's 2018 Playlist,"Honey I'm afraid and I know you are too
But we both been thorugh what we've both been through
There's no reason not to cross that line
We all need somebody from time to time
And even if your heart can't look my way
Even if our love can't stay together
I'd rather be king for a day than a fool forever
King for a day than a fool forever
Yes I would
Yes I would
And if we take that chance
If we make that leap
Love don't come easy and it don't come cheap
I spent all my money down to my last dime
For just one minute of your sweet time
Even if your heart can't look my way
Even if our love can't stay together
I'd rather be king for a day than a fool forver
Rather be king for a day than a fool forever
You can take my pride for what it's worth
We deserve to feel good even if it hurts
Even if your heart can't look my way
Even if our love can't stay together
I'd rather be king for a day than a fool forever
Rather be king for a day than a fool forever
Rather be king for a day than a fool forever
Rather be king for a day than a fool, than a fool forever
Rather be king for a day
Rather be king
Rather be king for a day than a fool forever",english
32,Love Lies,Barack Obama's 2018 Playlist,"Sorry if it's hard to catch my vibe, mmm
I need a lover to trust, tell me you're on my side
Are you down for the ride?
It's not easy for someone to catch my eye
But I've been waitin' for you for my whole damn life
For my whole lifetime
Don't be afraid to tell me if you ain't with it (you ain't with it)
I see you're focused, yeah you're so independent (independent)
It's hard for me to open up, I'll admit it (I'll admit it)
You've got some shit to say and I'm here to listen
So baby, tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies
I've been so into your mystery
Is it because of our history?
Are you into me?
When it feels so good, but it's bad for you
Can't say I don't want it 'cause I know I do
Come on over, I need your company
Cravin' that synergy
Don't be afraid to tell me if you ain't with it (you ain't with it)
I see you're focused, yeah, you're so independent (independent)
It's hard for me to open up, I'll admit it (I'll admit it)
You've got some shit to say and I'm here to listen
So baby, tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies
Tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies
If you're down, don't hide it
Feelin' me, you don't gotta deny it
Baby you gon' make me overnight it
Tell me, are you down?
If you're down, don't hide it (yeah)
Feelin' me, you don't gotta deny it (yeah)
Baby you gon' make me overnight it
Tell me, are you down? (Tell me)
Tell me where your love lies (tell me where your love lies)
Waste the day and spend the night (waste the day, spend the night)
Underneath the sunrise (underneath the sunrise)
Show me where your love lies (tell me where your love lies)
Tell me where your love lies (show me where your love lies)
Waste the day and spend the night (yeah, yeah)
Underneath the sunrise (ooh)
Show me where your love lies",english
33,Make Me Feel,Barack Obama's 2018 Playlist,"Baby, don't make me spell it out for you
All of the feelings that I've got for you
Can't be explained, but I can try for you
Yeah, baby, don't make me spell it out for you
You keep on asking me the same questions (why?)
And second guessing all my intentions
Should know by the way I use my compression
That you've got the answers to my confessions
It's like I'm powerful with a little bit of tender
An emotional, sexual bender
Mess me up, yeah, but no one does it better
There's nothin' better
That's just the way you make me feel
That's just the way you make me feel
So real, so good, so fuckin' real
That's just the way you make me feel
That's just the way you make me feel
You know I love it, so please don't stop it
You got me right here in your jean pocket (right now)
Laying your body on a shag carpet (oh)
You know I love it so please don't stop it
It's like I'm powerful with a little bit of tender
An emotional, sexual bender
Mess me up, yeah, but no one does it better
There's nothin' better
That's just the way you make me feel
That's just the way you make me feel
So real, so good, so fuckin' real
That's just the way you make me feel
That's just the way you make me feel
That's just the way that I feel now, baby
Good God! I can't help it! Agh!
That's just the way that I feel, yeah
Please! I can't help it
It's like I'm powerful with a little bit of tender
An emotional, sexual bender
Mess me up, yeah, but no one does it better (oh!)
There's nothin' better (better!) Damn
That's just the way you make me feel
That's just the way you make me feel
So real, so good, so fuckin' real
That's just the way you make me feel
That's just the way you make me feel",english
34,Mary Don't You Weep - Piano & A Microphone 1983 Version,Barack Obama's 2018 Playlist,"No, Mary, don't you weep
Oh Mary, don't you moan
Oh yeah, he'll be home soon
Oh, yeah Mary, don't you weep
Oh, Martha, don't you mourn, oh yeah
He'll be home soon
Oh, Mary, yeah
Oh, Martha don't you moan, yeah
He'll be home soon
Oh, Mary, don't you weep
Oh, Martha, don't you moan
Jesus
Of Nazareth
Helped us move, Lord
Hmm Mary
Hmm Mary
Oh Mary
I need
Martha, don't you moan
I got a bad, bad feeling, baby, he ain't coming home, no
I guess you know me well now
I don't like winter
But I seem to get a motherfuckin kick out of doing you wrong
Yeah, yeah
Mama, don't you mourn, no
I got a bad, bad feeling your man ain't coming home, yeah
I guess you know me well
I don't like no snow
No winter
No cold
But Marry, yeah
Girl, you know I like your shhh, yeah
I got a bad bad feeling that your man ain't coming home, yeah
Oh Martha, girl
You cooked the greatest son that's in the world
Mary, Mary, don't you mourn, yeah
I got that bad, bad feeling your man ain't coming home, yeah
Home
Oh Martha, don't you mourn",english
35,My Own Thing,Barack Obama's 2018 Playlist,"I'ma do my own thing
I'm finna buy a ringtone, then let the phone ring
I decided that I gotta do my own thing
Yeah, yeah, I just gotta do my own thing
Do my own thing (own thing, own thing, own thing, own thing, own thing)

Please don't hit me in my DM
Promise that my BM gonna slide when she see 'em
I know she gonna see 'em 'cause I'm defa finna show her
Take her to the culprit then I take her to the store (Yeah, yeah, yeah)
She just like my personal space, got a circular waist
Pull my shirt when she work, work, work, work, work
If you work in my space, better keep that shit 'fessional
I don't like to be bothered when I work, work, work, work
Please leave me the fuck alone, new fiancée, that's my cologne
Doin' too much and sayin' too much, that's how y'all ass end up alone
I'ma just pimp off, you a send-off, I don't really ever like to get involved
Got a baby, got a house, got in-laws, go and kick rocks

I'ma do my own thing
I'm finna buy a ringtone, then let the phone ring
Just let it ring, ring, ring, let it ring, ring, ring, let it ring, ring, ring
I decided that I gotta do my own thing
Yeah, yeah, I just gotta do my own thing
Do my own thing (own thing, own thing, own thing, own thing, own thing)

Okay, don't mind if it don't pay me, it ain't my biz
How you gon' raise yo' voice?
Gon' raise yo' money, won't raise yo' kids? (What?)
Bad little bitty in the city that I'm in (Yeah)
When I go and travel, I might have to take her with
She said she like how the car stop but the rims don't
Ain't wanna leave but I had to go, like Trey Songz
I was 18 with a '98 (Yup) sellin' 28s
Now I'm 25 sellin' 16s (Yup), it's a hunnid ways
My new girl a freak, she my type, she unique
Make her sang when we bang, skeet, skeet, skeet, skeet
Tell my ex it's a dub, that's a wop, that's unlikely
Put a bustdown of my wifey, like Gucci Mane, so icy

I'ma do my own thing
I'm finna buy a ringtone, then let the phone ring
Just let it ring, ring, ring, let it ring, ring, ring, let it ring, ring, ring
I decided that I gotta do my own thing
Yeah, yeah, I just gotta do my own thing
Do my own thing (own thing, own thing, own thing, own thing, own thing)",english
36,Need A Little Time,Barack Obama's 2018 Playlist,"I don't know a lot about you but
You seem to know a lot about me so
I take a little time out
I take a little time out
I'm sorry that I lost my patience
You deserve better it's true
I need a little time out
I need a little time out
From me, me, me, me
And you, ooh, you, ooh
Open up your insides show us
Your inner most lecherous
I'll rip it out carefully
I promise you won't feel a thing
Everybody wants to have their say
Forever waiting for some car crash
I need a little time out
I need a little time out
From me, me, me, me
And you, ooh, you, ooh
Shave your head to see how it feels
Emotionally it's not that different
But to the hand it's beautiful
Yeah to the hand it's beautiful
You seem to have the weight of the world
Upon your bony shoulders well hold on
You need a little time out
You need a little time out
From you, you, you, you
And me, me, me, me, me, me, me, me",english
37,Nina Cried Power (feat. Mavis Staples),Barack Obama's 2018 Playlist,"It's not the wakin', it's the risin'
It is the groundin' of a foot uncompromisin'
It's not forgoin' of the lie
It's not the openin' of eyes
It's not the wakin', it's the risin'
It's not the shade we should be cast in
It's the light and it's the obstacle that casts it
It's the heat that drives the light
It's the fire it ignites
It's not the wakin', it's the risin'
It's not the song, it is the singin'
It's the heaven of the human spirit ringin'
It is the bringin' of the line
It is the bearin' of the lie
It's not the wakin', it's the risin'
And I could cry power (power)
Power (power)
Power, Lord
Nina cried power
Billie cried power
Mavis cried power
And I could cry power (power)
Power (power)
Power, Lord
Curtis cried power
Patti cried power
Nina cried power
It's not the war but what's behind it
Lord, the fear of foul men is mere assignment
And everythin' that we're denied by keepin' the divide
It's not the wakin', it's the risin'
And I could cry power (power)
Power (power)
Power, Lord
Nina cried power
Lennon cried power
James Brown cried power
And I could cry power
Power (power)
Power (power)
Power, Lord
B.B. cried power
Joni cried power
Nina cried power
And I could cry power
Power has been cried by those stronger than me
Straight into the face that tells you to rattle your chains
If you love bein' free
Ah, Lord, I could cry power (power)
'Cause power is my love and my righteous to me
James Brown cried power
Seeger cried power
Woman cried power
Yeah ah, power
James cried power
Millie cried power
Kenny cried power
Billie, power
Dylan, power
Woody, power
Nina cried power",english
38,Nterini,Barack Obama's 2018 Playlist,"N’kanu taara yòròjanna
Ale ma sòn seginma
N’jarabi taara yòròjanna
Ale ma sòn seginma
 
N’terini, n’terini, n’ko a bè di sa?
Ne jarabi, n’bè a fè k’a nyèlòn de, Ala
N’terini, n’terini, n’ko a bè di sa?
Ne kanu wo, I want to know
 
N’terini, n’terini, n’ko a bè di sa?
Ne jarabi, n’bè a fè k’a nyèlòn de, Ala
N’terini, n’terini, n’ko a bè di sa?
Ne kanu, I want to know
 
Jarabi wale yòròjan takala
A nyènafin bè ne na
Ne bè, ne bè, kanu fè de Ala
Chéri wale yòròjan sigila
A nyènafin de bè n’na
Ne bè kanu fè
 
N’jarabi taara yòròjanna
Ale ma sòn seginma
(N’terini, n’terini)
N’jarabi taara yòròjanna
Ale ma sòn seginma
(N’terini, n’terini)
 
N’jarabi wale yòròjan sigila
A ma fènfò n’ye
Sògòmada tè ne la bòli sa
Tilegwan gwegwe, suko tè ne la bòli sa
Fitirida, sògòmada tè ne la bòli sa
Suko tè ne la bòli sa
Nin ne m’i ye, ja n’tè se n’lala
Sògòmada tè ne la bòli sa
Tilegwan gwegwe, suko tè ne la bòli sa
Fitirida, sògòmada tè ne la bòli sa
Suko tè ne la bòli sa
Nin ne m’i ye, ja ne tè se n’lala
N’terini, n’terini….
https://lyricstranslate.com/en/nterini-my-love.html",bambara
39,One Trick Ponies,Barack Obama's 2018 Playlist,"One, two, three, four
?, shit
Yeah
Loved you all a long, long while
Looked down into a deep, dark well
Called all your names
They echoed down for miles and miles
And all that other mystical, well, never-you-mind
Loved them all through many a lifetime
Some are gone but some still strong
Some are weird as hell but we love 'em
Some are one trick ponies but we embrace 'em
'Cause I've always had a soft spot for repetition
Wooh, loved you all a long, long while
Looked down into a deep, dark well
Called all your names
They echoed down for miles and miles
And all that other mystical, well, never-you-mind
Loved you all a long, long time
Looked long into the length of a tunnel
Called all your names
And we was tripping out 'cause we needed a way out
And all them other crystalline mystic rationalizations
Loved them all right down to my soul
Looked well into the depth of a hole
Pondered perpetual motion in the echo
Just like the song if the repeats were long
Loved you all a long, long while
Looked down into a deep, dark well
Called all your names
They echoed down for miles and miles
And all that other mystical, well, never-you-mind
Loved you all a long, long while
And I'd give my left, nevermind, for one big synchronized smile
Some are one trick ponies but so am I
Round 'em up into a mixed bag bundle of love now, yeah
Loved them all a long, long tick
And it's four, five, six
Prevent your schtick
Throw them at the wall in a mixed bag and see if they stick
Then give 'em a glass of water
Give 'em a cherry pie
Wooh, loved you all a long, long while
Looked down into a deep, dark well
Called all your names
They echoed down for miles and miles
And all that other mystical, well, never-you-mind",english
40,Turnin' Me Up,Barack Obama's 2018 Playlist,"Baby keep on turnin' me up (turnin' me up, turnin' me up)
Baby keep on turnin' me up (turnin' me up, turnin' me up)
It's just the little, bitty things you do
That keeps on turnin' me up
Keep doing that thang you're doing to me
That sweet lil thang you're doing to me, babe
It's just the little, bitty things you do, that keep on turnin' me up
Sometimes it makes me wanna say woo
Yeah let's make it woo
Baby keep on turnin' me on (turnin' me on, turnin' me on)
Baby keep on turnin' me on (turnin' me on, turnin' me on)
It's just the little, little, bitty little things you do, that keep on turnin' me on
Music take me away, Music take me away
Music take me away
Music take me away, music take me away
Music take me away",english
41,Wait by the River,Barack Obama's 2018 Playlist,"I will wait by the river
In the light of the moon
At the edge of the city
I will wait for you
Though I can't wait forever
Someday I'll be dead and gone
And I won't be forgiven
For what I've done
I will wait by the river
I will wait by the river
I will wait by the river
I will wait by the river
I will cry out to heaven
As it rains down on me
I will beg for forgiveness
Get down on my knees
If I can't change the weather
Maybe I can change your mind
If we can't be together
What's the point of life
Baby, I didn't mean the things I said
I don't honestly wish you were dead
I'm a fool; I'm just a man
If I only could hold you again
And the stars fill the river
As it flows into the sky
And the mind leaves the body
And floats higher and higher
If we can't be together
I will leave this world behind
If I can't touch your body
Can I touch the sky?
I will wait by the river
I will wait by the river
I will wait by the river
I will wait by the river",english
42,Wow Freestyle (feat. Kendrick Lamar),Barack Obama's 2018 Playlist,"Ayy K. Dot
Yeah, yeah
Can we get it how we used to get it like when Top had the red charger?
Can we get it how we used to get it like when Top had the red charger?
Can we get it how we used to get it?
Cap on, and I got racks on
Spent four nights in the country I like, then I take my rich ass back home
Blow so bright, I could make make moonlight
See this ain't like your pheromones
Blew one, big gun, bare tone
Who won? We won, you're home
We old school like capital
My old school made doctor note
My old school made hard knock
Black on black, my coupe ain't strap, I ain't balling on these hard tops
I told y'all to call Top, now my number call blocked
I don't miss, I call shot
Hol' up, yeah
Cap on and I got racks on (and I got racks on)
And I produced that diesel, I could put Shaq on (I could put Shaq, ayy)
Nigga, your bitch gon' leave, you ain't got a backbone (you ain't got, hol' up)
I don't rely on people, I just go and bread chase (whoa)
This so fucking door, I might catch a fed case (whoa)
You ain't getting money, nigga, then you dead weight (whoa)
Got the drop on 'em, there he go, checkmate (whoa)
We go drop on 'em, y'all better play it safe (whoa)
Cap on, and I got racks on
Don't be bitter, your dope, they reconsider that shit, be stepped on
Eastside Johnny, way out that project, but then I get my rep on
Fuck your feeling, no Preston, bitch, I kill it, I bring that check home
We old school like domino
My old school made lawyers know
My old school a match box
Black on black, bad bitch in the back, we ballin' on a hard top
Dot told y'all to call Top
Now my number call blocked
We don't miss, we call shots, swervin'
I pay 'em no mind mind because I curve 'em
She said I look way better in person
I told her I do better when I'm workin'
You scared motherfucker, go to churches
Right back in this bitch, take a flick
Hoe, what's happening (yeah), we don't politic
Money clip, like it's fashion (yeah)
Me and Rock go back like, flipping matresses
Me and Dot go back like knocking adresses
Cap on, cap on, drum hold thirty, no add-on
Lil' man mad, don't wanna go bad on
Big heat stamp fold out, when you lack on
You ain't no man, you a mouse in a rat hole
I hold band, whole stack, that's factual
Call big ten on a island bashful
Fuck your plan, I'ma burn that castle
Fuck that clan, I'ma burn that task force
It's sick murder when I say go
Hoppin' out that van with a black ski mask and a great big murder when I say go
Man, I took my chance, and I paint like that, let' see how further it might go
And it just might hurt you when I go
And my name might curse you when I go, bitch
In God we trust
Fear no man, but in god we trust
Both palm in hand, prayin' I stay up
I know you try your best but it's not like us
Wow, oh you say you got a bad one
Wow, I can tell you never had one
Wow, we back to back acting manie
Wow, east-side Johnny going stupid, stupid, stupid
Wow",english
43,All Of You,Barack Obama's 2018 Playlist,"I love the looks of you, the lure of you
The sweet of you, the pure of you
The eyes, the arms, the mouth of you
The East, West, North and the South of you

I'd love to gain complete control of you
And handle even the heart and soul of you
So love at least a small percent of me do
For I love all of you

I'd love to gain complete control of you
And handle even the heart and soul of you
So love at least a small percent of me do
For I love all, all of you",english
44,Playing Games,Barack Obama's Songs of the Year,"Whip, bought it
Crib, got it
Job, on it
Did I ever
Ask you to take me to go
Shopping in Paris or go
Sailing overseas and just
Drape me in Gucci? No
All I ever asked was you to
Pick up the phone when you alone
All I ever asked was you to
Show me some love, kisses and hugs
No, I never had an issue
Go to the club with your boys, baby, I
Never wanted you to stay too long
Just wanted you to show me off
So won't you say my name, say my name
If you claim you want me
It ain't no thang
You acting kinda shady
You ain't been calling me baby, oh
Boy, you can go and stop playing games
Playing games
I know you saying ""hit my line""
I'm on your line, and that
You want this bad
So I'm bool with that
I'm just trying to match your words with your actions
I need more than satisfaction
Did you really a connection?
Really want to give your all
But flex in front of your friends
How that work?
Swear that you doing the most
But we take a picture, can't post it
How that work?
When you talking
Back that shit up
Won't you say my, say my
So won't you say my name say my name
If you claim you want me
It ain't no thang
You acting kinda shady
You ain't been calling me baby, oh
Boy, you can go and stop playing games
Playing games
Games (games)
Games (oh, games)
We got London on da Track",english
45,Not,Barack Obama's Songs of the Year,"It's not the energy reeling
Nor the lines in your face
Nor the clouds on the ceiling
Nor the clouds in space
It's not the phone on the table
Nor the bed in the earth
Nor the bed in the stable
Nor your stable words
It's not the formless being
Nor the cry in the air
Nor the boy I'm seeing
With her long black hair
It's not the open weaving
Nor the furnace glow
Nor the blood of you bleeding
As you try to let go
It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
That's spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
That you eat
Not the meat of your thigh
Nor your spine tattoo
Nor your shimmery eye
Nor the wet of the dew
It's not the warm illusion
Nor the crack in the plate
Nor the breath of confusion
Nor the starkness of slate
It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
That's spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
That you eat
Not what you really wanted
Nor the mess in your purse
Nor the bed that is haunted
With the blanket of thirst
It's not the hunger revealing
Nor the ricochet in the cave
Nor the hand that is healing
Nor the nameless grave
It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
That's spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
That you eat
Not to die
Not dying
Not to laugh
Not lying
Not the vacant wilderness vying
Not the room
Not beginning
Not the crowd
Not winning
Not the planet
That's spinning",english
46,Go DJ,Barack Obama's Songs of the Year,"The blunt still burnin', the clock still turnin'
The waist keep runnin' while her ass keep workin'
The DJ's on my team, I'm certain the DJ's on my team
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)

Turnt up, eyes low, I'm gettin' down on the dance floor
Lil' mama, can you tell me where my hands go?
Amazin', I'ma be your biggest fan, though
Thought maybe you could take me where you goin' from
And maybe I can show you what I'm made of
Yeah baby, I could find some time to get close
But really, I ain't got no time for fake love
Wake up and take drugs
Bottle of Henny on my body that
Can somebody tell me where the party at?
Oh, let's toast to the good life
Passed it to the left and then she brought it back

And now the blunt still burnin', the clock still turnin'
The waist keep runnin' while her ass keep workin'
The DJ's on my team, I'm certain the DJ's on my team
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)

You from the Valley, to bangin' Canyon
Where, where?
I'm from the city where they still bust cannons
Swervin' down LaBrea, swervin' on a hater
We put on for our niggas and they still hate us
I ride around with my headie,.38 special
Livin', headin', still dealin' with the Devil
But I ain't really worried 'bout none of that
Pour another shot and let's run it back
Roll another blunt, I got too much tree
Buy another bottle, baby, it's on me
And you ain't gotta tell me that I'm rollin' right

See, the blunt still burnin', the clock still turnin'
The waist keep runnin' while her ass keep workin'
The DJ's on my team, I'm certain the DJ's on my team
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)
Can I get a, ""Go DJ, go DJ"" (Go, go, go, go, go, go)",english
47,Juice,Barack Obama's Songs of the Year,"Mirror, mirror on the wall
Don't say it, 'cause I know I'm cute (ooh, baby)
Louis down to my drawers
LV all on my shoes (ooh, baby)
I be drippin' so much sauce
Got a bitch lookin' like RAGÚ (ooh, baby)
Lit up like a crystal ball
That's cool, baby, so is you
That's how I roll
If I'm shinin', everybody gonna shine (yeah, I'm goals)
I was born like this, don't even gotta try (now you know)
I'm like chardonnay, get better over time (so you know)
Heard you say I'm not the baddest, bitch, you lied
It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof
Gotta blame it on my juice
Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice (ooh, baby)
No, I'm not a snack at all
Look, baby, I'm the whole damn meal (ooh, baby)
David, you ain't bein' slick
Don't dare try to cop a feel (ooh, baby)
The juice ain't worth the squeeze
If the juice don't look like this (like this, like this, like this)
Hold up, nigga, please
Don't make me have to take your bitch (how I roll)
If I'm shinin', everybody gonna shine (yeah, I'm goals)
I was born like this, don't even gotta try (now you know)
I'm like chardonnay, get better over time (so you know)
Heard you say I'm not the baddest, bitch, you lied (you lied)
It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof
Gotta blame it on my juice
Ya-ya-ee (ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
Ya-ya-ee (ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice (alright)
Ya-ya-ee
Somebody come get this man
I think he got lost in my DMs, what? My DMs, what?
You better come get your man
I think he wanna be way more than friends, what?
More than friends
What you want me to say?
It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof (puddin' in the proof)
Gotta blame it on my juice (blame it on my juice)
Ya-ya-ee (Yay-ya), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
(Blame it on it, yeah)",english
48,Redesigning Women,Barack Obama's Songs of the Year,"Full time living on a half time schedule
Always tryna make everybody feel special
Learning when to brake and when to hit the pedal
Working hard to look good 'til we die
A critical reason there's a population
Raising our brows at a new generation
Rosie the Riveter with renovations
And always gets better with wine
Redesigning women
Running the world while we're cleaning up the kitchen
Making bank, shaking hands, driving 80
Tryna get home just to feed the baby
Skipping the bread for the butter
Changing our minds like we change our hair color
Yeah, ever since the beginning
We've been redesigning women
Pulling up the floors and changing out the curtains
Some of us are saints and some of us are surgeons
Made in God's image, just a better version
And breaking every jello mold
And when we love someone we take 'em to Heaven
And if the shoe fits, we're gonna buy 11
How'd we get it done? We like to keep 'em guessing
But secretly we all know
Redesigning women
Running the world while we're cleaning up the kitchen
Making bank, shaking hands, driving 80
Tryna get home just to feed the baby
Skipping the bread for the butter
Changing our minds like we change our hair color
Yeah, ever since the beginning
We've been redesigning women
How do we do it? How do we do it?
Making it up as we go along
How do we do it? How do we do it?
Half way right and half way wrong
Redesigning women
Running the world while we're cleaning up the kitchen
Making bank, shaking hands, driving 80
Tryna get home just to feed the baby
Skipping the bread for the butter
Changing our minds like we change our hair color
Yeah, ever since the beginning
We've been redesigning women",english
49,Anybody,Barack Obama's Songs of the Year,"Ahh, ahh
Gbese
Ahh, ahh
I don' charge my energy, I no get time for no enemy
Tori pe won le tomi
Nothing wey person never see
Omo nothing wey person never see
Forget, I say fashi
Very soon expecting
Je kawon padi eh jen be
I dey kaku dey gbese
Jejeli jeje jeje
I been dey answer them yes sir
Now na me dem dey answer yes sir
Respect is reciprocal
Even though unuh know say I special
Anybody, wey no want to soji
Anybody, wey no dey carry body
Nack am something, ahh
Nack am something
To ba ta fele, fele
Nack am something
You won chop where you never work
Shey na because me sef I never talk
I look you dey laugh you gon, gon, gon, gongongon
I sha know say the time go come
Omo I know say the time go come
Wey you no go fit lie no more
Omo omo, life na turn by turn
Whether you like or not
To ba ginger me, gbeskele go burst
Ki gbe , je kan gbo oh
Anybody, wey no want to soji
Anybody, wey no dey carry body
Nack am something, ahh
Nack am something
To ba ta fele, fele
Nack am something
Money soon expected
Je kawon padi e jen be
I dey kaku dey gbese
Jejeli jeje jeje
I been dey answer them yes sir
Now na me dem dey answer yes sir
Respect is reciprocal
Even though una know say I special
Anybody, wey no want to soji
Anybody, wey no dey carry body
Nack am something, ahh
Nack am something
To ba ta fele, fele
Nack am something
Gbese
Eni to ba ta, fele fele, la'go lori won
Eni to ba ta, fele fele, la'go lori won
Eni to ba ta, fele fele, la'go lori won
Eni to ba ta, fele fele, la'go lori won",english
50,Burning,Barack Obama's Songs of the Year,"I've been sleeping
Barely dreaming
Through one year and one half
Found another
Called him my lover
Helped me get my old self back
It was you
It was you
Only you
You remind me, oh, you bring me back
And you said
""Let me help you wake you up
Let me help you break you up
Let me help you open up""
I'm in love, I'm alive
Oh, I'm burning
Oh, I was reckless
Once was breathless
Running from that day I snapped
But I've got a feeling
And keep believing
I'm never gonna give this back
It was you
It was you
Only you
Oh, I'm never gonna give this back
And you said
""Let me help you wake you up
Let me help you break you up
Let me help you open up""
I'm in love, I'm alive
Oh, I'm burning
And if you're giving up, would you tell me?
I'm gonna keep this love if you let me
And if you're giving up, would you tell me?
I'm gonna keep this love
And you said
""Let me help you wake you up
Let me help you break you up
Let me help you open up""
I'm in love, I'm alive
Oh, I'm burning
""Let me help you wake you up
Let me help you break you up
Let me help you open up""
I'm in love, I'm alive
Oh, I'm burning",english
51,Baila Baila Baila - Remix,Barack Obama's Songs of the Year,"Ella casi ni sale, la traicionó el amor
Tiene par de amistade', pero no quiere relación
Donde va sobresale, en sus ojo' se ve la ilusión (se ve la ilusión)
Pero llamó a su amiga
Que se olvide, que esta es su canción (oh-oh)
Y baila, baila, baila (baila, baila)
Ponle música, pa' que esto no pare
Baila, baila, baila
Tengo que besarte ante' que se acabe
Baila, baila, baila (baila, baila)
Ponle música, pa' que esto no pare
Baila, baila, baila
Tengo que besarte ante' que se acabe (Ozuna)
Me gusta como te ve' (como te ve'-e'-e')
Moviéndote, así e' (así e'-e')
Dejando la timide' (uoh-oh)
Me gustas demasiado, aquí me tienes deseándote (deseándote)
Toda la noche imaginándote-e (imaginándote)
Por el cuello besándote (uoh-oh)
Y por la mano agarrándote que conmigo tú te va' (te va')
Hacer algo más (algo más)
Que no pueda' olvidar
Conmigo hace sentir lo que no ha sentido con alguien más
Conmigo tú te vas (tú te va')
Hacer algo más (oh-oh)
No pueda' olvidar (baby)
Conmigo va' a sentirte mejor
Baila, baila, baila (baila, baila)
Ponle música, pa' que esto no pare
Baila, baila, baila (baila, baila)
Tengo que besarte ante' que se acabe
Baila, baila, baila (oh-oh)
Ponle música, pa' que esto no pare
Baila, baila, baila (-la, ah)
Tengo que besarte ante' que se acabe
Jaja
Ozuna
Luian
Mambo Kingz
Hydro
Jowny
Y baila, baila, baila
Ponle música, pa' que esto no pare
Baila, baila, baila
Tengo que besarte ante' que se acabe
Baila, baila, baila
Ponle música, pa' que esto no pare
Baila, baila, baila
Tengo que besarte ante' que se acabe
Ella casi ni sale, la traicionó el amor
Tiene par de amistade', pero no quiere relación
Donde va sobresale, en sus ojo' se ve la ilusión (ilusión)
Pero llamó a su amiga', que se olvide, que esta es su canción
Jaja, jaja
El negrito 'e ojos claros
Nibiru
Wo-oh-oh
Dímelo Vi",spanish
